Code;Country;13/14;14/15;15/16;16/17;17/18;18/19;19/20;20/21
4;Germany;9.727399108;-10.96713555;4.654996872;7.856521732;6.095788558;-4.242381436;-3.842671429;9.801693183
400;USA;4.129094861;1.425102517;3.456400116;27.50196997;-2.017656047;-1.125328777;13.51414708;29.70331947
6;United Kingdom;11.94015617;5.935226619;10.5223978;-16.96363639;15.51857582;-1.702223486;-0.381548926;10.11570881
5;Italy;0.163341062;-4.457045108;9.854011586;11.83916215;14.33216532;-2.930441896;-17.12759589;27.72564637
612;Iraq;1.57716128;-24.2317467;-14.75499549;18.99407014;-6.655102323;8.331932202;-10.57629289;9.05899324
11;Spain;9.290168555;-0.58429881;5.662559074;25.94009183;23.32868737;0.217309842;-17.88059263;31.46256896
1;France;3.032284408;-11.01239656;3.409190028;9.285569369;11.0233573;3.791696299;-9.444705686;12.71181427
3;Netherlands;-3.425811295;-8.2493592;14.64809399;9.016984755;21.72725794;12.96237407;-9.837029621;18.78817482
624;Israel;9.008142285;-8.38486019;8.837297964;14.73988495;14.78033733;10.96085658;5.382557356;20.41740612
75;Russia;-14.46433628;-40.29185064;-51.3358258;60.06590417;27.27517676;13.67609995;8.538820803;15.08548697
647;UAE;-5.794411421;-0.092319989;12.30099862;67.20677388;-64.88599605;11.46945096;-22.03313248;73.06795233
66;Romania;12.84987749;-6.902893938;-4.204661328;18.32627488;24.80169195;-1.553252888;-4.397022351;20.45576849
17;Belgium;12.52247672;-14.61343831;0.139838864;23.31333128;23.4376736;-18.21429247;7.021974882;23.38802448
60;Poland;16.21700345;-2.584966402;13.74166865;15.76205308;9.454304507;-1.124227998;0.750885425;22.39874266
220;Egypt;3.173914691;-5.612239848;-12.83506648;-10.03731437;26.17703253;9.146617926;-10.61993114;24.62250186
68;Bulgaria;-0.881130666;-16.74424954;41.14699055;17.34827041;-3.520837339;-5.280896601;-1.266228869;35.43838706
720;China;-20.90226848;-15.82205091;-4.882012769;27.71187153;1.348701604;-11.45201227;5.127818596;17.86191354
9;Greece;8.070023725;-10.7976703;-1.083229056;17.08937907;34.73046685;-3.344069106;-19.8404761;56.25181057
72;Ukraine;-22.27101932;-36.35608636;12.65757729;10.16585968;14.88707489;28.04355184;-3.066463134;26.5761211
204;Morocco;10.45547597;-5.257415927;8.631945392;13.21757761;20.72598849;15.27821834;-12.36483097;27.18506142
616;Iran;-7.041912345;-0.656356266;32.73101973;-29.32153842;-28.35602241;-1.034891294;-17.68648834;12.58825938
216;Libya;-30.83205826;-29.967821;-35.43759373;-6.505681242;72.92506221;30.68826834;-20.12183366;51.73370753
78;Azerbaijan;-3.568396628;-31.65443966;-33.66402156;6.386420712;15.2659481;5.08067694;16.60390134;1.694885416
608;Syria;90.07757116;-19.21933873;-5.687032693;-0.221778031;0.673549932;-3.211251858;-7.805984878;20.25977711
81;Uzbekistan;4.142988768;-20.32692881;7.964300225;29.90467023;41.81365088;19.55099668;-6.330363644;46.75760891
91;Slovenia;8.602318003;8.812429361;14.59339989;24.74637752;28.07280753;22.2775877;-10.95127677;-3.517655205
404;Canada;1.420878111;-27.24630544;8.451566318;41.21121187;21.7223824;-26.34759538;1.969752137;55.57132548
30;Sweden;13.34127527;-11.35821656;1.882547706;12.74952589;4.831541603;-6.612764788;-7.126835944;16.76224393
208;Algeria;5.141881384;-13.3924841;-5.285817928;-0.115190108;16.01539253;-4.926627488;-28.11239991;5.439154264
76;Georgia;14.35748715;-21.92497562;4.584879246;1.676651341;7.536155444;9.689575431;-7.39896816;4.434762824
61;Czech Republic;15.07608114;-6.955981821;4.397905453;10.56251457;10.81310537;-4.277713877;1.357615139;34.40897999
